date,PET_mm_day,year,month,PET_mm_month,precip_mm,temp_c,wind_u,wind_v,solar_rad,balance_mm
1991-02-01,0.22078553643834276,1991,2,6.181995020273597,12.844265895660198,18.237973084103942,0.058198182610975785,0.068068482039111,14.142083553005147,6.662270875386602
1991-03-01,0.14203367983029533,1991,3,4.403044074739155,13.912317234525228,18.14111596508991,0.1745915411892512,0.022462502013526488,13.435253879859985,9.509273159786073
1991-04-01,0.21482197941064643,1991,4,6.444659382319393,7.435220052732514,18.14054594440688,-0.04956249928388548,0.0888161041261921,15.084045590295926,0.9905606704131209
1991-05-01,0.2650362709491485,1991,5,8.216124399423604,5.364272083583774,18.40993249616895,-0.1364978799308724,0.1373789557815229,14.685765285825267,-2.85185231583983
1991-06-01,0.3605856066243188,1991,6,10.817568198729564,2.9878675160202395,18.198828237940234,-0.3188730499587647,0.2137361367262894,14.669335663747438,-7.8297006827093245
1991-07-01,0.5214403701602419,1991,7,16.1646514749675,1.181454064815578,17.620156098435814,-0.6157662953871758,0.2405398233654691,16.23705238562045,-14.983197410151922
1991-08-01,0.6194315557848836,1991,8,19.20237822933139,0.948976882881515,17.619524341030626,-0.7686708070302518,0.20775667352607013,17.44285748901759,-18.253401346449877
1991-09-01,0.4419601269749449,1991,9,13.258803809248347,2.831188132184892,18.14428664856149,-0.16717211315630018,0.17754107917868084,16.978605351912595,-10.427615677063455
1991-10-01,0.3944699353296825,1991,10,12.228567995220157,3.5939241919512876,17.760417582761477,-0.1373494957385658,0.16244072021337805,16.57585673685713,-8.634643803268869
1991-11-01,0.31869853268905235,1991,11,9.56095598067157,4.919398814724958,18.019964849414237,0.30200158253978293,0.12608093504464862,16.78638803481884,-4.641557165946613
1991-12-01,0.263344546722148,1991,12,8.163680948386588,7.7780718828556195,17.990397692645956,0.3740155985651907,0.12566709643038695,14.643797925489078,-0.38560906553096874
1992-01-01,0.21326574316776734,1992,1,6.611238038200788,11.138888425615546,18.168453769561324,0.19137618100376275,0.08353298711813781,14.973035275301932,4.5276503874147584
1992-02-01,0.15602241557487326,1992,2,4.524650051671324,11.691567391263966,18.022977551235897,0.15004180516468554,0.047382585830090376,13.123080429055722,7.166917339592642
1992-03-01,0.16151825104051332,1992,3,5.007065782255912,16.384109333702945,18.410858526525544,-0.0972622898273426,0.04827385829729131,13.249143013061483,11.377043551447032
1992-04-01,0.1476888683221053,1992,4,4.4306660496631585,13.988068080906574,18.30062764629372,-0.07481054879487656,0.028841219258869136,12.866276630411752,9.557402031243416
1992-05-01,0.21319627916430015,1992,5,6.609084654093304,10.379354324702238,18.31264491097062,-0.09322887251998281,0.13378110374128993,13.466020766508931,3.7702696706089336
1992-06-01,0.4070176251004781,1992,6,12.210528753014344,2.08443632569217,17.983434063684854,-0.5289396703878915,0.19643342416664838,14.498260374532101,-10.126092427322174
1992-07-01,0.5524771795696529,1992,7,17.12679256665924,1.2995180773115131,17.342625524991263,-0.6633907385200456,0.21791285398914217,16.237039780422347,-15.827274489347728
