date,precip_mm,year,month,temp_c,wind_u,wind_v,solar_rad
2020-07-16 12:00:00,0.00014699632,2020,7,290.63736,-6.9736543,-0.8936921,190.4935
2020-08-16 12:00:00,0.00014180022,2020,8,291.33502,-4.597558,-0.7714466,201.55939
2020-09-16 00:00:00,0.00024992143,2020,9,291.3627,-3.2313313,-0.59769857,173.13191
2020-10-16 12:00:00,0.0003760148,2020,10,290.46017,-1.9986436,-0.31530207,122.653305
2020-11-16 00:00:00,0.00039674508,2020,11,290.25287,-1.8466406,0.61047167,115.38846
2020-12-16 12:00:00,0.00026319938,2020,12,290.38412,-5.024245,1.0810487,127.20803
2021-01-16 12:00:00,0.00021110818,2021,1,290.83344,-7.7583666,1.7281965,163.28229
2021-02-15 00:00:00,0.0001290925,2021,2,291.2545,-7.129715,1.3293692,207.42464
2021-03-16 12:00:00,0.00020521169,2021,3,291.55963,-3.846156,1.4837457,168.55066
2021-04-16 00:00:00,0.00036433185,2021,4,291.18774,-3.9304912,0.45139074,141.92682
2021-05-16 12:00:00,0.00028054608,2021,5,291.1986,-4.4985256,0.5751933,147.82838
2021-06-16 00:00:00,0.00020328118,2021,6,290.9754,-5.759309,0.7778161,172.84615
2021-07-16 12:00:00,0.00015418693,2021,7,291.32495,-7.1593347,-0.107209854,181.79187
2021-08-16 12:00:00,0.00018075248,2021,8,291.5989,-5.5641503,-0.30206212,176.06207
2021-09-16 00:00:00,0.00039281778,2021,9,291.2042,-3.742185,-0.99462116,142.41298
2021-10-16 12:00:00,0.0003854424,2021,10,290.8389,-1.8254057,0.39582953,129.1306
2021-11-16 00:00:00,0.00031515735,2021,11,290.88016,-3.2987347,0.06415655,132.37389
2021-12-16 12:00:00,0.00030122194,2021,12,291.28302,-5.622668,1.0536404,140.3588
2022-01-16 12:00:00,0.00010215836,2022,1,292.0166,-6.490111,2.8501234,213.51804
2022-02-15 00:00:00,0.00012167678,2022,2,292.34613,-6.760786,1.19104,227.01245
2022-03-16 12:00:00,0.00027585842,2022,3,292.3863,-4.809973,0.81077075,149.89188
2022-04-16 00:00:00,0.000523465,2022,4,292.22382,-2.9344714,0.34261551,128.62029
2022-05-16 12:00:00,0.00043200687,2022,5,291.64984,-1.9946735,0.48817855,122.35881
2022-06-16 00:00:00,0.0002534187,2022,6,291.85825,-4.748422,-0.42560235,166.87503
2022-07-16 12:00:00,0.00019390148,2022,7,291.0534,-5.644191,-0.68041945,175.84676
2022-08-16 12:00:00,0.00012200759,2022,8,291.42688,-5.4774647,-0.63529044,194.68002
2022-09-16 00:00:00,0.00034235188,2022,9,291.4729,-3.2890203,0.19351836,154.38066
2022-10-16 12:00:00,0.00038915907,2022,10,290.42874,-4.202094,0.16673447,121.16939
2022-11-16 00:00:00,0.00039478217,2022,11,290.55658,-3.7238414,-0.051359866,119.3101
2022-12-16 12:00:00,0.00018262831,2022,12,290.94397,-6.604432,1.4055265,149.35156
2023-01-16 12:00:00,0.00013232286,2023,1,290.62155,-8.218629,1.1977423,164.72751
2023-02-15 00:00:00,0.00014644736,2023,2,290.9807,-8.447869,0.8398059,176.13159
2023-03-16 12:00:00,0.00030326546,2023,3,290.8068,-5.8530955,1.2994574,160.4473
2023-04-16 00:00:00,0.00035997658,2023,4,290.9118,-2.1425896,1.5756392,138.7371
2023-05-16 12:00:00,0.0002309663,2023,5,290.99347,-2.4681742,0.2542422,164.69563
2023-06-16 00:00:00,0.0002938989,2023,6,290.63647,-3.6571312,-0.30008474,140.36664
2023-07-16 12:00:00,8.753601e-05,2023,7,290.9754,-6.328595,-1.0915194,215.75734
2023-08-16 12:00:00,0.00017073161,2023,8,291.40894,-5.1734986,-0.8783963,182.23956
2023-09-16 00:00:00,0.0001828605,2023,9,291.63745,-2.339785,-0.4671282,190.02875
2023-10-16 12:00:00,0.00038136783,2023,10,291.0053,-1.9860907,0.46532997,136.57948
2023-11-16 00:00:00,0.0004786282,2023,11,290.77615,-1.8681011,0.67531335,111.60411
2023-12-16 12:00:00,0.00024302927,2023,12,291.41315,-3.9318218,1.3002585,149.16289
2024-01-16 12:00:00,0.0001850716,2024,1,291.80347,-7.015601,2.5794086,186.76439
2024-02-15 12:00:00,0.00026148776,2024,2,291.61072,-7.4586725,1.8497878,161.63376
2024-03-16 12:00:00,0.0002751383,2024,3,292.05206,-5.289144,0.95603514,164.52306
2024-04-16 00:00:00,0.000264815,2024,4,292.18723,-3.494212,0.53918636,167.11087
2024-05-16 12:00:00,0.00023845752,2024,5,291.7204,-3.975394,0.42229718,162.01587
2024-06-16 00:00:00,0.00018695193,2024,6,291.5824,-6.5597734,-0.67207,172.48534
2024-07-16 12:00:00,9.034759e-05,2024,7,291.4714,-5.7980475,-0.44584662,203.22165
2024-08-16 12:00:00,0.00011029992,2024,8,291.52594,-6.0920954,-0.7607347,202.88269
2024-09-16 00:00:00,0.0003009127,2024,9,291.5105,-2.876137,0.2439344,157.60162
